,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0x9200,0.0606060606,0.0625,0.0625,0.1,0.1612903226,0.1,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0x9200,0.0606060606,0.0625,0.0625,0.1,0.1612903226,0.1,0.1612903226,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xc3c0,0.1935483871,0.375,0.1818181818,0.1290322581,0.1764705882,0.375,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd040,1.84375,2.34375,1.8125,1.8387096774,2.1212121212,2.34375,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd140,0.6875,0.7419354839,0.6666666667,1.0625,0.6764705882,1.0625,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd480,3.375,3.375,3.8,3.34375,3.935483871,3.935483871,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd6c0,2.8823529412,3.1612903226,2.8787878788,3.7,2.8529411765,3.7,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd940,3.0303030303,2.9310344828,2.8484848485,3.0333333333,3.0333333333,2.9310344828,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd940,3.0303030303,2.9310344828,2.8484848485,3.0333333333,3.0333333333,2.9310344828,2.8484848485,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd9c0,1,1.46875,1,1.0294117647,0.6129032258,1.46875,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xdbc0,9.4482758621,8.7058823529,10.75,8.6060606061,8.6129032258,10.75,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x12440,0,0.0322580645,0.0303030303,0.03125,0.0294117647,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13080,0.0322580645,0.03125,0.064516129,0.03125,0,0.064516129,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13080,0.0322580645,0.03125,0.064516129,0.03125,0,0.064516129,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x136c0,3.5,2.5294117647,3.0344827586,2.5882352941,2.5483870968,3.5,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x137c0,1.3636363636,2,1.34375,1.3225806452,1.7096774194,2,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13840,0.1875,0.3529411765,0.4,0.3548387097,0.34375,0.1875,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x14640,0,0.0303030303,0.03125,0.0322580645,0,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x14640,0,0.0303030303,0.03125,0.0322580645,0,0,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1b180,2.5666666667,2.303030303,2.5666666667,2.5806451613,2.696969697,2.303030303,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1c1c0,0.0625,0.0666666667,0.0606060606,0.0606060606,0.0322580645,0.0322580645,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1fb40,0.6774193548,0.6666666667,0.6875,0.3235294118,0.75,0.3235294118,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1fd40,2.90625,2.9032258065,3.0625,2.90625,2.8064516129,3.0625,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1fd40,2.90625,2.9032258065,3.0625,2.90625,2.8064516129,3.0625,2.8064516129,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x25b00,0,0.03125,0.0303030303,0.0909090909,0.0322580645,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x25b00,0,0.03125,0.0303030303,0.0909090909,0.0322580645,0,0.0909090909,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2c040,0.0303030303,0.0322580645,0.0303030303,0.03125,0,0,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2c100,0.0322580645,0,0.0303030303,0.0303030303,0.0344827586,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2c9c0,0.9666666667,0.8235294118,0.9375,0.9677419355,0.9642857143,0.8235294118,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2cb00,0.96875,0.9393939394,0.84375,0.9375,0.9375,0.96875,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2cb00,0.96875,0.9393939394,0.84375,0.9375,0.9375,0.96875,0.84375,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2cc00,0.303030303,0.3793103448,0.3939393939,0.1034482759,0.3870967742,0.1034482759,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x2d040,0.3636363636,0.3,0.1176470588,0.3125,0.3125,0.1176470588,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x311c0,5.696969697,5.7741935484,5.0625,5.7419354839,6.40625,5.0625,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x34ac0,0.0294117647,0.03125,0.0303030303,0,0,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x34ac0,0.0294117647,0.03125,0.0303030303,0,0,0,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40840,0.0303030303,0.0322580645,0.0303030303,0.03125,0,0,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40a80,0.0294117647,0.0322580645,0.03125,0.0303030303,0,0,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40ac0,0.0322580645,0.0303030303,0.03125,0,0,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40ac0,0.0322580645,0.0303030303,0.03125,0,0,0,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40dc0,0.0322580645,0,0.03125,0.0344827586,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40e40,0,0.0322580645,0,0.0322580645,0.0303030303,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40e40,0,0.0322580645,0,0.0322580645,0.0303030303,0,0,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x40f00,0.0322580645,0,0.0333333333,0.0333333333,0.0322580645,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x41080,0.0344827586,0.03125,0,0.0294117647,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x41400,0.0303030303,0,0.03125,0.0303030303,0,0,,,
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x41400,0.0303030303,0,0.03125,0.0303030303,0,0,0,,
,,,,,,,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,   0x4c0,0.0322580645,0,0.0322580645,0.0333333333,0.0303030303,0,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x1ac0,0.03125,0,0.0303030303,0.0606060606,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x1ac0,0.03125,0,0.0303030303,0.0606060606,0.03125,0,0.0606060606,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x3800,1.5,1.1176470588,0.9666666667,1.1176470588,1.1333333333,1.5,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x3d80,7.3103448276,6.6060606061,7.3225806452,7.2580645161,6.25,6.25,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x3ec0,2.7666666667,1.7419354839,1.75,2,1.7941176471,2.7666666667,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x4fc0,0.0909090909,0.09375,0,0.0882352941,0,0,,,
/usr/lib/x86_64-linux-gnu/gtk-3.0/3.0.0/immodules/im-ibus.so,  0x4fc0,0.0909090909,0.09375,0,0.0882352941,0,0,0,,
,,,,,,,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
/lib/x86_64-linux-gnu/libgcc_s.so.1,  0x1740,0.0625,0.0322580645,0.0322580645,0.0303030303,0.064516129,0.0625,,,
/lib/x86_64-linux-gnu/libgcc_s.so.1,  0x1740,0.0625,0.0322580645,0.0322580645,0.0303030303,0.064516129,0.0625,0.064516129,,
,,,,,,,,,,
/lib/x86_64-linux-gnu/libgcc_s.so.1,  0x3880,0.0625,0.1212121212,0.1212121212,0.125,0.0882352941,0.0625,,,
,    addr,   b,   i,   s,   w,   a,,,,
,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x59340,0.2258064516,0.1935483871,0.2333333333,0.2258064516,0.0606060606,0.0606060606,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x593c0,0.0333333333,0.0294117647,0.0689655172,0.0294117647,0.03125,0.0689655172,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x598c0,0.0303030303,0.0322580645,0.0625,0.064516129,0.0625,0.0303030303,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x598c0,0.0303030303,0.0322580645,0.0625,0.064516129,0.0625,0.0303030303,0.0322580645,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x59900,0.03125,0.0294117647,0.064516129,0,0.0303030303,0.064516129,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x59900,0.03125,0.0294117647,0.064516129,0,0.0303030303,0.064516129,0,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5a3c0,0.09375,0.0606060606,0.1,0.1470588235,0.0967741935,0.1470588235,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5a700,0,0.0322580645,0.0303030303,0,0.0303030303,0,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5a700,0,0.0322580645,0.0303030303,0,0.0303030303,0,0,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5b700,0.0294117647,0.03125,0.0303030303,0.0625,0,0.0625,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5b700,0.0294117647,0.03125,0.0303030303,0.0625,0,0.0625,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5b7c0,0.0303030303,0,0.0333333333,0.0606060606,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5eb80,0.1724137931,0.0606060606,0.1290322581,0.0606060606,0.0625,0.1724137931,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5eb80,0.1724137931,0.0606060606,0.1290322581,0.0606060606,0.0625,0.1724137931,0.1290322581,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5fc40,0.1875,0.0303030303,0.0322580645,0.0322580645,0.03125,0.1875,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5fd00,0.0303030303,0.0303030303,0,0.0294117647,0.0666666667,0,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5fd00,0.0303030303,0.0303030303,0,0.0294117647,0.0666666667,0,0.0666666667,,
,,,,,,,,,,
